"","date","state","diff"
"735",2020-04-12,"CT",525
"736",2020-04-13,"CT",1346
"737",2020-04-14,"CT",608
"738",2020-04-15,"CT",766
"739",2020-04-16,"CT",1129
"740",2020-04-17,"CT",925
"741",2020-04-18,"CT",741
"742",2020-04-19,"CT",412
"743",2020-04-20,"CT",1853
"744",2020-04-21,"CT",545
"745",2020-04-22,"CT",2109
"746",2020-04-23,"CT",631
"747",2020-04-24,"CT",836
"748",2020-04-25,"CT",647
"749",2020-04-26,"CT",686
"750",2020-04-27,"CT",728
"751",2020-04-28,"CT",315
"752",2020-04-29,"CT",455
"753",2020-04-30,"CT",933
"754",2020-05-01,"CT",1064
"755",2020-05-02,"CT",523
"756",2020-05-03,"CT",0
"757",2020-05-04,"CT",686
"758",2020-05-05,"CT",648
"759",2020-05-06,"CT",374
"760",2020-05-07,"CT",789
"761",2020-05-08,"CT",627
"762",2020-05-09,"CT",573
"763",2020-05-10,"CT",570
"764",2020-01-23,"DE",0
"765",2020-01-24,"DE",0
"766",2020-01-25,"DE",0
"767",2020-01-26,"DE",0
"768",2020-01-27,"DE",0
"769",2020-01-28,"DE",0
"770",2020-01-29,"DE",0
"771",2020-01-30,"DE",0
"772",2020-01-31,"DE",0
"773",2020-02-01,"DE",0
"774",2020-02-02,"DE",0
"775",2020-02-03,"DE",0
"776",2020-02-04,"DE",0
"777",2020-02-05,"DE",0
"778",2020-02-06,"DE",0
"779",2020-02-07,"DE",0
"780",2020-02-08,"DE",0
"781",2020-02-09,"DE",0
"782",2020-02-10,"DE",0
"783",2020-02-11,"DE",0
"784",2020-02-12,"DE",0
"785",2020-02-13,"DE",0
"786",2020-02-14,"DE",0
"787",2020-02-15,"DE",0
"788",2020-02-16,"DE",0
"789",2020-02-17,"DE",0
"790",2020-02-18,"DE",0
"791",2020-02-19,"DE",0
"792",2020-02-20,"DE",0
"793",2020-02-21,"DE",0
"794",2020-02-22,"DE",0
"795",2020-02-23,"DE",0
"796",2020-02-24,"DE",0
"797",2020-02-25,"DE",0
"798",2020-02-26,"DE",0
"799",2020-02-27,"DE",0
"800",2020-02-28,"DE",0
"801",2020-02-29,"DE",0
"802",2020-03-01,"DE",0
"803",2020-03-02,"DE",0
"804",2020-03-03,"DE",0
"805",2020-03-04,"DE",0
"806",2020-03-05,"DE",0
"807",2020-03-06,"DE",0
"808",2020-03-07,"DE",0
"809",2020-03-08,"DE",0
"810",2020-03-09,"DE",0
"811",2020-03-10,"DE",0
"812",2020-03-11,"DE",1
"813",2020-03-12,"DE",0
"814",2020-03-13,"DE",3
"815",2020-03-14,"DE",2
"816",2020-03-15,"DE",0
"817",2020-03-16,"DE",2
"818",2020-03-17,"DE",8
"819",2020-03-18,"DE",3
"820",2020-03-19,"DE",11
"821",2020-03-20,"DE",9
"822",2020-03-21,"DE",6
"823",2020-03-22,"DE",11
"824",2020-03-23,"DE",12
"825",2020-03-24,"DE",36
"826",2020-03-25,"DE",15
"827",2020-03-26,"DE",11
"828",2020-03-27,"DE",33
"829",2020-03-28,"DE",51
"830",2020-03-29,"DE",18
"831",2020-03-30,"DE",32
"832",2020-03-31,"DE",55
"833",2020-04-01,"DE",49
"834",2020-04-02,"DE",25
"835",2020-04-03,"DE",57
"836",2020-04-04,"DE",143
"837",2020-04-05,"DE",80
"838",2020-04-06,"DE",110
"839",2020-04-07,"DE",145
"840",2020-04-08,"DE",188
"841",2020-04-09,"DE",93
"842",2020-04-10,"DE",117
"843",2020-04-11,"DE",153
"844",2020-04-12,"DE",146
"845",2020-04-13,"DE",133
"846",2020-04-14,"DE",168
"847",2020-04-15,"DE",88
"848",2020-04-16,"DE",56
"849",2020-04-17,"DE",247
"850",2020-04-18,"DE",221
"851",2020-04-19,"DE",0
"852",2020-04-20,"DE",207
"853",2020-04-21,"DE",186
"854",2020-04-22,"DE",269
"855",2020-04-23,"DE",108
"856",2020-04-24,"DE",134
"857",2020-04-25,"DE",134
"858",2020-04-26,"DE",458
"859",2020-04-27,"DE",128
"860",2020-04-28,"DE",413
"861",2020-04-29,"DE",80
"862",2020-04-30,"DE",79
